16|KRESNA||1|110005728|27 September 2016|Divisi Produksi|35016ME107|13114688|PRODUK MASSA MODUL SURYA 2016|BRG JD MEKANIK; JUNCTION BOX CONECTOR MC4 ( WITH 2 DIODE AND CABLE ) IP 67 , IEC 60529|2134|PCS|USD|4|705|2820|38698860|25 Juli 2016|25 Agustus 2016|130003605|210003432||CNBM SOLAR|705|USD|4|21250|28 Juli 2016|28 Juli 2016|TIDAK||TIDAK|-18430|||||
17|KRESNA||0|110005727||Divisi Produksi|35016ME107|18100184|PRODUK MASSA MODUL SURYA 2016|SAFETY TOOLS; SARUNG TANGAN KARET SENSI GLOVE|2134|DUS|IDR|71500|8|572000|572000|||130003607|0|||8||71500||||TIDAK||TIDAK||||||
18|KRESNA||0|110005727||Divisi Produksi|35016ME107|18100184|PRODUK MASSA MODUL SURYA 2016|SAFETY TOOLS; SARUNG TANGAN KARET SENSI GLOVE|2134|DUS|IDR|71500|8|572000|572000|||130003606|0|||8||71500||||TIDAK||TIDAK||||||
19|KRESNA||0|110005727||Divisi Produksi|35016ME107|18100184|PRODUK MASSA MODUL SURYA 2016|SAFETY TOOLS; SARUNG TANGAN KARET SENSI GLOVE|2134|DUS|IDR|71500|8|572000|572000|||130003604|0|||8||71500||||TIDAK||TIDAK||||||
20|KRESNA||0|110005727||Divisi Produksi|35016ME107|19140031|PRODUK MASSA MODUL SURYA 2016|LABEL/STIKER; QC "PASSED", KERTAS BERLEM|2134|LBR|IDR|87|7700|669900|669900|||130003607|0|||7700||87||||TIDAK||TIDAK||||||
21|KRESNA||0|110005727||Divisi Produksi|35016ME107|19140031|PRODUK MASSA MODUL SURYA 2016|LABEL/STIKER; QC "PASSED", KERTAS BERLEM|2134|LBR|IDR|87|7700|669900|669900|||130003606|0|||7700||87||||TIDAK||TIDAK||||||
22|KRESNA||0|110005727||Divisi Produksi|35016ME107|19140031|PRODUK MASSA MODUL SURYA 2016|LABEL/STIKER; QC "PASSED", KERTAS BERLEM|2134|LBR|IDR|87|7700|669900|669900|||130003604|0|||7700||87||||TIDAK||TIDAK||||||
23|KRESNA||0|110005727||Divisi Produksi|35016ME107|17100117|PRODUK MASSA MODUL SURYA 2016|BAHAN PENGEPAKAN; STRAPPING BAND SEMI OTOMATIS MERK  HANA|2134|ROL|IDR|123614|20|2472280|2472280|||130003607|0|||20||123614||||TIDAK||TIDAK||||||
24|KRESNA||0|110005727||Divisi Produksi|35016ME107|17100117|PRODUK MASSA MODUL SURYA 2016|BAHAN PENGEPAKAN; STRAPPING BAND SEMI OTOMATIS MERK  HANA|2134|ROL|IDR|123614|20|2472280|2472280|||130003606|0|||20||123614||||TIDAK||TIDAK||||||
25|KRESNA||0|110005727||Divisi Produksi|35016ME107|17100117|PRODUK MASSA MODUL SURYA 2016|BAHAN PENGEPAKAN; STRAPPING BAND SEMI OTOMATIS MERK  HANA|2134|ROL|IDR|123614|20|2472280|2472280|||130003604|0|||20||123614||||TIDAK||TIDAK||||||
26|KRESNA||0|110005727||Divisi Produksi|35016ME107|18100040|PRODUK MASSA MODUL SURYA 2016|SAFETY TOOLS; SARUNG TANGAN, PENDEK, KOMBINASI (KULIT - KAIN), ALL SIZE|2134|PSG|IDR|33833|8|270669|270669|||130003607|0|||8||33833||||TIDAK||TIDAK||||||
27|KRESNA||0|110005727||Divisi Produksi|35016ME107|18100040|PRODUK MASSA MODUL SURYA 2016|SAFETY TOOLS; SARUNG TANGAN, PENDEK, KOMBINASI (KULIT - KAIN), ALL SIZE|2134|PSG|IDR|33833|8|270669|270669|||130003606|0|||8||33833||||TIDAK||TIDAK||||||
28|KRESNA||0|110005727||Divisi Produksi|35016ME107|18100040|PRODUK MASSA MODUL SURYA 2016|SAFETY TOOLS; SARUNG TANGAN, PENDEK, KOMBINASI (KULIT - KAIN), ALL SIZE|2134|PSG|IDR|33833|8|270669|270669|||130003604|0|||8||33833||||TIDAK||TIDAK||||||
29|KRESNA||0|110005727||Divisi Produksi|35016ME107|19100273|PRODUK MASSA MODUL SURYA 2016|ISI CUTTER; L-500, BESAR, KENKO|2134|PAC|IDR|48371|8|386968|386968|||130003607|0|||8||48371||||TIDAK||TIDAK||||||
30|KRESNA||0|110005727||Divisi Produksi|35016ME107|19100273|PRODUK MASSA MODUL SURYA 2016|ISI CUTTER; L-500, BESAR, KENKO|2134|PAC|IDR|48371|8|386968|386968|||130003606|0|||8||48371||||TIDAK||TIDAK||||||
31|KRESNA||0|110005727||Divisi Produksi|35016ME107|19100273|PRODUK MASSA MODUL SURYA 2016|ISI CUTTER; L-500, BESAR, KENKO|2134|PAC|IDR|48371|8|386968|386968|||130003604|0|||8||48371||||TIDAK||TIDAK||||||
32|KRESNA||0|110005727||Divisi Produksi|35016ME107|16100168|PRODUK MASSA MODUL SURYA 2016|BAHAN KIMIA; IPA, CAIR, BENING, TEKNIS|2134|LTR|IDR|34397|160|5503520|5503520|||130003607|0|||160||34397||||TIDAK||TIDAK||||||
33|KRESNA||0|110005727||Divisi Produksi|35016ME107|16100168|PRODUK MASSA MODUL SURYA 2016|BAHAN KIMIA; IPA, CAIR, BENING, TEKNIS|2134|LTR|IDR|34397|160|5503520|5503520|||130003606|0|||160||34397||||TIDAK||TIDAK||||||
34|KRESNA||0|110005727||Divisi Produksi|35016ME107|16100168|PRODUK MASSA MODUL SURYA 2016|BAHAN KIMIA; IPA, CAIR, BENING, TEKNIS|2134|LTR|IDR|34397|160|5503520|5503520|||130003604|0|||160||34397||||TIDAK||TIDAK||||||
35|KRESNA||0|110005727||Divisi Produksi|35016ME107|19100104|PRODUK MASSA MODUL SURYA 2016|ISOLASI; L=0.5 INCH, BENING, PLASTIK , PANFIX|2134|ROL|IDR|10058|231|2323398|2323398|||130003607|0|||231||10058||||TIDAK||TIDAK||||||
36|KRESNA||0|110005727||Divisi Produksi|35016ME107|19100104|PRODUK MASSA MODUL SURYA 2016|ISOLASI; L=0.5 INCH, BENING, PLASTIK , PANFIX|2134|ROL|IDR|10058|231|2323398|2323398|||130003606|0|||231||10058||||TIDAK||TIDAK||||||
37|KRESNA||0|110005727||Divisi Produksi|35016ME107|19100104|PRODUK MASSA MODUL SURYA 2016|ISOLASI; L=0.5 INCH, BENING, PLASTIK , PANFIX|2134|ROL|IDR|10058|231|2323398|2323398|||130003604|0|||231||10058||||TIDAK||TIDAK||||||
